archetype,feature,mean,median,std,q25,q75,n
HMOX2-Driven,HMOX1,3336.1976153846153,899.105,14188.615168300832,575.4355,1233.3600000000001,39
Immune-Active,HMOX1,2964.971857142857,1940.775,2901.577414094124,1319.9099999999999,3427.1125,56
Immune-Active-4,HMOX1,2241.690953846154,1491.53,2405.9151047021614,763.432,2404.13,65
NRF2-Dominant,HMOX1,2260.2248275862066,1402.82,2001.6470173114237,962.615,3189.46,29
Cold-Quiescent,HMOX2,1235.9802905982908,1094.18,529.2856732567451,886.152,1421.26,117
HMOX2-Driven,HMOX2,2197.2308461538455,2173.23,851.840969490585,1521.2,2748.005,39
Immune-Active,HMOX2,1697.8847321428573,1571.03,817.6504681732563,1039.1925,2068.6325,56
Immune-Active-4,HMOX2,2445.183061538462,2000.0,1626.5999370366364,1445.65,2973.38,65
NRF2-Dominant,HMOX2,1561.7782758620692,1419.76,608.1912417810757,1171.97,1677.78,29
Cold-Quiescent,ros_risk_score,-0.0641678763188129,-0.1140021458577499,0.33595595518659016,-0.3170228274618993,0.1752944575323071,117
HMOX2-Driven,ros_risk_score,-0.19384834110187568,-0.2087542345400042,0.5509350344343995,-0.5113167135610153,0.07415579666032165,39
Immune-Active,ros_risk_score,0.09943310847167076,0.03825283287931865,0.5185461911720659,-0.2063183762682922,0.336110949850587,56
Immune-Active-4,ros_risk_score,-0.3620227773786601,-0.3989262573416957,0.33809270555325194,-0.5710968559470625,-0.2023977387074585,65
NRF2-Dominant,ros_risk_score,1.1536024306488988,1.2095320756470087,0.452482481856236,0.786245816299118,1.5317223905018271,29
Cold-Quiescent,alt_risk_score,0.20611595774887737,0.1272504416628837,0.6957813100195852,-0.2685085625495717,0.5439499834885837,117
HMOX2-Driven,alt_risk_score,-0.2885523092690109,-0.347815148190666,0.46955211164985894,-0.5692142266226193,-0.09445375893978719,39
Immune-Active,alt_risk_score,0.2121511339897559,0.14858989570082035,1.116366338318402,-0.5045263307595533,0.6228211103173392,56
Immune-Active-4,alt_risk_score,-0.5057944095597922,-0.5200782121863258,0.5384153537663817,-0.830199398351007,-0.1849667554292478,65
NRF2-Dominant,alt_risk_score,0.3958134326693851,0.4379102932627874,0.4947395526351811,0.0279883171715266,0.6597384585497493,29
